Castellano,Valenciano
Preguntas Salario.,
Dame el sueldo de un Concejal,Dóna'm el sou d'un regidor
quiero la mensualidad de un Teniente de Alcalde,vull la mensualitat d'un Tinent d'Alcalde
dame el salario de una concejala ,dóna'm el salari d'una regidora
salario concejal,salari regidor
Mensualidad de Teniente Alcalde,Mensualitat de Tinent Alcalde
Cuál es el salario de Consol Castillo Plaza,Quin és el salari de Consol Castillo Plaça
Cuanto cobra Sandra?,Com cobra Sandra?
dame el salario de Giuseppe,dóna'm el salari de Giuseppe
salario de Vicent Manuel,salari de Vicente Manuel
dime cuanto cobra Giuseppe Grezzi,digues-me com més cobra Giuseppe Grezzi
quiero saber el salario de Neus Fábregas,vull saber el salari de Neus Fàbregas
cuanto gana Sergi?,Pel que fa guanya Sergi?
cual es el salario de Sergi Campillo,quin és el salari de Sergi Campillo
dame la mensualidad de Neus,dóna'm la mensualitat de Neus
respuestas varias,respuestas varias
"no se encontró el nombre en la base de datos, revisa que este bien escrito",no hem trobat el nom a la base de dades revisa que estigui ben escrit
"Hay más de un alto cargo con ese nombre, si puedes coloca el nombre completo para respoderte!","Hi ha més d'un alt càrrec amb aquest nom, si pots col·loca el nom complet per respoderte."
Disculpas tenemos problemas para encontrar las respuestas.,Disculpes tenim problemes per trobar les respostes.
respuestas Salario,
{} gana {}€ de retribución anual bruta (sin antigüedad) por su cargo de {}.,"{} guanya {}€ de retribució anual bruta (sense antiguitat) pel seu càrrec de , {}."
un {} gana {}€ de retribución anual bruta (sin antigüedad),un {} guanya {}€ de retribució anual bruta (sense antiguitat)
Respuesta Impuesto,Respuesta Impuesto
el barrio {} pago en total {} en {} el año {},al barri {} pagament en total {} en {} l'any 
# preguntas presupuesto,#preguntas presupuesto
presupuesto,pressupost
presupuesto valencia,pressupost valència
Presupuesto 2016,pressupost 2016
quiero el presupuesto del año pasado,vull el pressupost de l'any passat
dame el presupuesto de valencia de este año,dóna'm el pressupost de valència d'aquest any
¿Cuál fue el presupuesto de valencia en el año 2012?,Quin va ser el pressupost de valència en l'any 2012?
necesito el presupuesto de Valencia,necessito el pressupost de València
¿qué presupuesto tiene valencia?,¿Quin pressupost té valència?
que presupuesto tiene valencia,que pressupost té valència
Valencia,València
#preguntas impuesto,#preguntas impuesto
cuanto gasto en impuesto benimaclet,Pel que fa la despesa en impost benimaclet
¿cuánto se pago en impuesto en la petxina?,¿cuánto se pago en impuesto en la petxina?
¿cuánto fue el pago de IBI en patraix?,¿Quant es pagament en imposat en la petxina?
cuanto se pago en IVTNU en el barrio del carmen 2015,el que es pagament en IVTNU al barri del carme 2015
cual fue el pago en IAE en el barrio la petxina,qual va ser el pagament en IAE al barri la petxina
¿Cual fue el pago de IVTM en blasco ibañez?,Quin va ser el pagament d'IVTM en blasco ibañez?
